roto_name,name,team,date
,Dairis Bertans,NEW ORLEANS PELICANS,2
,Elfrid Payton,NEW ORLEANS PELICANS,2
,Frank Jackson,NEW ORLEANS PELICANS,2
,Jahlil Okafor,NEW ORLEANS PELICANS,2
,Julius Randle,NEW ORLEANS PELICANS,2
,Nikola Mirotic,NEW ORLEANS PELICANS,2
,Solomon Hill,NEW ORLEANS PELICANS,2
,Billy Garrett,NEW YORK KNICKS,2
,Enes Kanter,NEW YORK KNICKS,2
,John Jenkins,NEW YORK KNICKS,2
,Wesley Matthews,NEW YORK KNICKS,2
,Abdel Nader,OKLAHOMA CITY THUNDER,2
,Dennis Schroder,OKLAHOMA CITY THUNDER,2
,Jerami Grant,OKLAHOMA CITY THUNDER,2
,Nerlens Noel,OKLAHOMA CITY THUNDER,2
,Patrick Patterson,OKLAHOMA CITY THUNDER,2
,Paul George,OKLAHOMA CITY THUNDER,2
,Russell Westbrook,OKLAHOMA CITY THUNDER,2
,Steven Adams,OKLAHOMA CITY THUNDER,2
,Terrance Ferguson,OKLAHOMA CITY THUNDER,2
,Aaron Gordon,ORLANDO MAGIC,2
,D.J. Augustin,ORLANDO MAGIC,2
,Evan Fournier,ORLANDO MAGIC,2
,Jerian Grant,ORLANDO MAGIC,2
,Jonathan Isaac,ORLANDO MAGIC,2
,Jonathon Simmons,ORLANDO MAGIC,2
,Mohamed Bamba,ORLANDO MAGIC,2
,Nikola Vucevic,ORLANDO MAGIC,2
,Terrence Ross,ORLANDO MAGIC,2
,Amir Johnson,PHILADELPHIA 76ERS,2
,Ben Simmons,PHILADELPHIA 76ERS,2
,J.J. Redick,PHILADELPHIA 76ERS,2
,James Ennis,PHILADELPHIA 76ERS,2
,Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,2
,Damian Lillard,PORTLAND TRAIL BLAZERS,2
,Jake Layman,PORTLAND TRAIL BLAZERS,2
,Jusuf Nurkic,PORTLAND TRAIL BLAZERS,2
,Maurice Harkless,PORTLAND TRAIL BLAZERS,2
,Rodney Hood,PORTLAND TRAIL BLAZERS,2
,Seth Curry,PORTLAND TRAIL BLAZERS,2
,Zach Collins,PORTLAND TRAIL BLAZERS,2
,Buddy Hield,SACRAMENTO KINGS,2
,De'Aaron Fox,SACRAMENTO KINGS,2
,Harry Giles,SACRAMENTO KINGS,2
,Nemanja Bjelica,SACRAMENTO KINGS,2
,Willie Cauley-Stein,SACRAMENTO KINGS,2
,Yogi Ferrell,SACRAMENTO KINGS,2
,Chimezie Metu,SAN ANTONIO SPURS,2
,DeMar DeRozan,SAN ANTONIO SPURS,2
,Derrick White,SAN ANTONIO SPURS,2
,Donatas Motiejunas,SAN ANTONIO SPURS,2
,Lonnie Walker,SAN ANTONIO SPURS,2
,Pau Gasol,SAN ANTONIO SPURS,2
,Rudy Gay,SAN ANTONIO SPURS,2
,Eric Moreland,TORONTO RAPTORS,2
,Derrick Favors,UTAH JAZZ,2
,Donovan Mitchell,UTAH JAZZ,2
,Jae Crowder,UTAH JAZZ,2
,Joe Ingles,UTAH JAZZ,2
,Kyle Korver,UTAH JAZZ,2
,Ricky Rubio,UTAH JAZZ,2
,Royce O'Neale,UTAH JAZZ,2
,Rudy Gobert,UTAH JAZZ,2
,Thabo Sefolosha,UTAH JAZZ,2
,Dewayne Dedmon,ATLANTA HAWKS,1
,Isaac Humphries,ATLANTA HAWKS,1
,Jeremy Lin,ATLANTA HAWKS,1
,Omari Spellman,ATLANTA HAWKS,1
,Tyler Dorsey,ATLANTA HAWKS,1
,Tyler Zeller,ATLANTA HAWKS,1
,Al Horford,BOSTON CELTICS,1
,Aron Baynes,BOSTON CELTICS,1
,Gordon Hayward,BOSTON CELTICS,1
,Greg Monroe,BOSTON CELTICS,1
,Guerschon Yabusele,BOSTON CELTICS,1
,Robert Williams,BOSTON CELTICS,1
,Alan Williams,BROOKLYN NETS,1
,Caris LeVert,BROOKLYN NETS,1
,Kenneth Faried,BROOKLYN NETS,1
,Mitch Creek,BROOKLYN NETS,1
,Rodions Kurucs,BROOKLYN NETS,1
,Tahjere McCall,BROOKLYN NETS,1
,Theo Pinson,BROOKLYN NETS,1
,Shelvin Mack,CHARLOTTE HORNETS,1
,Antonio Blakeney,CHICAGO BULLS,1
,Cristiano Felicio,CHICAGO BULLS,1
,JaKarr Sampson,CHICAGO BULLS,1
,Kris Dunn,CHICAGO BULLS,1
,Lauri Markkanen,CHICAGO BULLS,1
,Otto Porter,CHICAGO BULLS,1
,Robin Lopez,CHICAGO BULLS,1
,Ryan Arcidiacono,CHICAGO BULLS,1
,Shaquille Harrison,CHICAGO BULLS,1
,Wayne Selden,CHICAGO BULLS,1
,Brandon Knight,CLEVELAND CAVALIERS,1
,Cameron Payne,CLEVELAND CAVALIERS,1
,Cedi Osman,CLEVELAND CAVALIERS,1
,Channing Frye,CLEVELAND CAVALIERS,1
,Collin Sexton,CLEVELAND CAVALIERS,1
,David Nwaba,CLEVELAND CAVALIERS,1
,Jalen Jones,CLEVELAND CAVALIERS,1
,Jordan Clarkson,CLEVELAND CAVALIERS,1
,Larry Nance,CLEVELAND CAVALIERS,1
,Marquese Chriss,CLEVELAND CAVALIERS,1
,Matthew Dellavedova,CLEVELAND CAVALIERS,1
,Patrick McCaw,CLEVELAND CAVALIERS,1
,DeAndre Jordan,DALLAS MAVERICKS,1
,Devin Harris,DALLAS MAVERICKS,1
,Dorian Finney-Smith,DALLAS MAVERICKS,1
,Dwight Powell,DALLAS MAVERICKS,1
,Harrison Barnes,DALLAS MAVERICKS,1
,Jalen Brunson,DALLAS MAVERICKS,1
,Luka Doncic,DALLAS MAVERICKS,1
,Jarred Vanderbilt,DENVER NUGGETS,1
,Nick Young,DENVER NUGGETS,1
,Thomas Welsh,DENVER NUGGETS,1
,Will Barton,DENVER NUGGETS,1
,Sviatoslav Mykhailiuk,DETROIT PISTONS,1
,Damian Jones,GOLDEN STATE WARRIORS,1
,Quinn Cook,GOLDEN STATE WARRIORS,1
,Chris Chiozza,HOUSTON ROCKETS,1
,Gary Clark,HOUSTON ROCKETS,1
,Iman Shumpert,HOUSTON ROCKETS,1
