slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
makerth01,Thon Maker,CENTER,21,MILWAUKEE BUCKS,35,0,409,59,134,26,78,20,37,17,79,18,10,18,9,55
makerth01,Thon Maker,POWER FORWARD,21,DETROIT PISTONS,25,4,497,46,119,22,67,33,43,21,74,25,10,28,21,42
marjabo01,Boban Marjanovic,CENTER,30,LOS ANGELES CLIPPERS,36,9,376,85,140,0,2,72,95,55,97,22,11,17,37,57
marjabo01,Boban Marjanovic,CENTER,30,PHILADELPHIA 76ERS,18,2,247,56,92,2,4,24,33,29,64,23,3,8,20,30
markkla01,Lauri Markkanen,POWER FORWARD,21,CHICAGO BULLS,52,51,1682,342,795,120,332,170,195,74,396,75,37,33,85,122
martija01,Jarell Martin,POWER FORWARD,24,ORLANDO MAGIC,39,1,295,41,97,20,52,9,11,10,55,15,2,8,11,42
masonfr01,Frank Mason,POINT GUARD,24,SACRAMENTO KINGS,36,0,409,62,151,12,56,36,53,4,34,83,16,4,31,31
matthwe02,Wesley Matthews,SMALL FORWARD,32,DALLAS MAVERICKS,44,44,1312,194,469,100,263,87,110,20,82,100,33,12,58,102
matthwe02,Wesley Matthews,SHOOTING GUARD,32,NEW YORK KNICKS,2,1,54,4,19,2,10,4,5,1,2,5,1,1,2,2
matthwe02,Wesley Matthews,SHOOTING GUARD,32,INDIANA PACERS,21,21,679,76,197,45,121,41,48,11,51,53,19,4,28,53
mbahalu01,Luc Mbah a Moute,POWER FORWARD,32,LOS ANGELES CLIPPERS,4,0,61,8,18,2,6,2,5,2,5,2,1,1,2,8
mccalta01,Tahjere McCall,SHOOTING GUARD,24,BROOKLYN NETS,1,0,8,2,3,0,1,0,1,0,1,0,0,0,0,2
mccawpa01,Patrick McCaw,SHOOTING GUARD,23,CLEVELAND CAVALIERS,3,0,53,2,9,1,4,0,0,0,3,2,2,0,3,1
mccawpa01,Patrick McCaw,SHOOTING GUARD,23,TORONTO RAPTORS,26,1,344,24,54,8,24,13,15,7,38,27,21,2,14,37
mccolcj01,CJ McCollum,SHOOTING GUARD,27,PORTLAND TRAIL BLAZERS,68,68,2321,563,1217,165,434,157,189,60,215,198,54,27,104,166
mccontj01,T.J. McConnell,POINT GUARD,26,PHILADELPHIA 76ERS,72,2,1391,205,393,14,42,28,35,27,138,249,76,16,87,101
mcderdo01,Doug McDermott,SMALL FORWARD,27,INDIANA PACERS,74,0,1270,197,396,79,196,60,72,16,87,63,16,8,42,99
mcgeeja01,JaVale McGee,CENTER,31,LOS ANGELES LAKERS,71,58,1579,372,599,1,9,93,144,184,347,47,46,139,100,192
mcgruro01,Rodney McGruder,SHOOTING GUARD,27,MIAMI HEAT,64,45,1517,183,451,79,223,52,70,56,172,110,36,11,64,114
mckinal01,Alfonzo McKinnie,SMALL FORWARD,26,GOLDEN STATE WARRIORS,67,4,917,125,257,38,107,24,43,80,149,28,16,13,29,124
mclembe01,Ben McLemore,SHOOTING GUARD,25,SACRAMENTO KINGS,19,0,158,25,64,17,41,8,12,3,14,4,6,3,5,22
mcraejo01,Jordan McRae,SHOOTING GUARD,27,WASHINGTON WIZARDS,26,0,318,58,123,9,31,28,35,6,32,27,13,7,14,26
meeksjo01,Jodie Meeks,SHOOTING GUARD,31,TORONTO RAPTORS,7,0,86,18,34,7,15,1,1,1,10,7,1,1,1,4
mejrisa01,Salah Mejri,CENTER,32,DALLAS MAVERICKS,33,4,333,43,86,7,22,15,22,33,77,26,9,17,19,51
meltode01,De'Anthony Melton,POINT GUARD,20,PHOENIX SUNS,47,31,915,90,237,28,92,16,22,21,101,150,64,23,68,108
metuch01,Chimezie Metu,POWER FORWARD,21,SAN ANTONIO SPURS,29,0,145,19,58,0,2,13,17,9,27,13,6,2,15,14
middlkh01,Khris Middleton,SMALL FORWARD,27,MILWAUKEE BUCKS,73,73,2297,473,1079,169,446,204,244,49,399,316,76,6,164,166
milescj01,C.J. Miles,SMALL FORWARD,31,TORONTO RAPTORS,40,1,562,70,206,43,137,35,44,12,56,22,18,10,21,62
milescj01,C.J. Miles,SMALL FORWARD,31,MEMPHIS GRIZZLIES,13,0,294,42,105,24,66,13,14,1,26,14,8,5,9,17
milleda01,Darius Miller,SMALL FORWARD,28,NEW ORLEANS PELICANS,69,15,1757,189,484,133,364,56,71,14,114,146,40,23,59,165
millema01,Malcolm Miller,SMALL FORWARD,25,TORONTO RAPTORS,9,0,58,10,24,10,21,2,2,0,4,1,1,1,1,4
millspa02,Patty Mills,POINT GUARD,30,SAN ANTONIO SPURS,79,1,1847,271,638,151,385,83,97,24,152,233,47,10,91,125
millspa01,Paul Millsap,POWER FORWARD,33,DENVER NUGGETS,67,62,1810,309,639,55,152,171,236,148,338,135,82,53,88,174
miltosh01,Shake Milton,SHOOTING GUARD,22,PHILADELPHIA 76ERS,16,0,182,28,61,11,31,4,5,7,16,13,5,4,4,20
mirotni01,Nikola Mirotic,POWER FORWARD,27,NEW ORLEANS PELICANS,32,22,925,182,407,85,231,85,101,46,218,35,21,25,37,86
mirotni01,Nikola Mirotic,POWER FORWARD,27,MILWAUKEE BUCKS,14,3,320,56,135,31,87,20,23,14,61,20,10,9,11,21
mitchdo01,Donovan Mitchell,SHOOTING GUARD,22,UTAH JAZZ,74,74,2494,633,1468,179,499,296,369,57,245,304,101,31,213,200
mitrona01,Naz Mitrou-Long,SHOOTING GUARD,25,UTAH JAZZ,11,0,45,3,11,1,7,0,0,0,2,5,0,0,3,5
monkma01,Malik Monk,SHOOTING GUARD,20,CHARLOTTE HORNETS,69,0,1185,219,566,105,316,90,102,15,110,109,34,16,84,99
monrogr01,Greg Monroe,CENTER,28,TORONTO RAPTORS,38,2,423,74,161,0,4,35,61,60,96,16,13,8,31,61
monrogr01,Greg Monroe,CENTER,28,BOSTON CELTICS,2,0,5,3,5,0,0,0,0,3,0,1,0,0,0,0
mooreet01,E'Twaun Moore,SHOOTING GUARD,29,NEW ORLEANS PELICANS,53,36,1463,256,532,76,176,45,59,35,92,102,40,8,59,112
moreler01,Eric Moreland,POWER FORWARD,27,PHOENIX SUNS,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1
moreler01,Eric Moreland,POWER FORWARD,27,TORONTO RAPTORS,3,0,31,3,6,1,1,0,0,3,10,4,0,0,3,8
morrija01,Jaylen Morris,SHOOTING GUARD,23,MILWAUKEE BUCKS,4,0,29,4,10,1,3,1,2,0,5,4,2,0,1,1
morrima03,Marcus Morris,POWER FORWARD,29,BOSTON CELTICS,73,53,2036,371,822,143,378,137,164,74,370,105,43,23,90,176
morrima02,Markieff Morris,POWER FORWARD,29,WASHINGTON WIZARDS,34,15,883,143,328,48,144,57,73,41,133,60,25,20,47,117
morrima02,Markieff Morris,POWER FORWARD,29,OKLAHOMA CITY THUNDER,20,1,308,43,120,15,48,12,16,9,54,14,11,2,6,45
morrimo01,Monte Morris,POINT GUARD,23,DENVER NUGGETS,78,5,1882,329,669,90,217,57,72,35,153,286,69,4,52,97
motlejo01,Johnathan Motley,POWER FORWARD,23,LOS ANGELES CLIPPERS,21,0,144,35,67,0,3,23,38,16,29,10,4,3,15,25
mudiaem01,Emmanuel Mudiay,POINT GUARD,22,NEW YORK KNICKS,59,42,1607,330,740,69,210,144,186,33,163,228,43,19,140,103
murraja01,Jamal Murray,POINT GUARD,21,DENVER NUGGETS,72,71,2346,491,1125,144,397,179,210,62,238,349,65,26,154,150
musadz01,Dzanan Musa,SHOOTING GUARD,19,BROOKLYN NETS,8,0,34,8,20,0,9,0,2,1,3,1,2,0,4,1
muscami01,Mike Muscala,POWER FORWARD,27,PHILADELPHIA 76ERS,47,6,1041,109,278,68,199,63,77,51,149,62,18,27,43,112
muscami01,Mike Muscala,POWER FORWARD,27,LOS ANGELES LAKERS,13,2,140,17,48,9,36,5,6,1,18,9,3,7,1,12
mykhasv01,Sviatoslav Mykhailiuk,SMALL FORWARD,21,LOS ANGELES LAKERS,39,0,420,44,132,27,85,12,20,8,26,33,13,1,20,25
mykhasv01,Sviatoslav Mykhailiuk,SMALL FORWARD,21,DETROIT PISTONS,3,0,20,2,8,2,4,0,0,1,1,4,1,0,1,0
naderab01,Abdel Nader,SMALL FORWARD,25,OKLAHOMA CITY THUNDER,59,1,678,86,203,31,94,27,35,12,96,18,19,12,24,67
nancela02,Larry Nance,CENTER,26,CLEVELAND CAVALIERS,63,26,1663,230,441,30,89,92,130,156,343,197,92,37,93,179
napiesh01,Shabazz Napier,POINT GUARD,27,BROOKLYN NETS,55,2,953,162,418,70,215,115,138,15,80,138,41,16,66,64
