number,name,position,height,weight,birth_date,experience,college,team
2,Derek Fisher,PG,6-1,200,"August 9, 1974",13,University of Arkansas at Little Rock,LOS ANGELES LAKERS
16,Pau Gasol,C,7-0,250,"July 6, 1980",8,,LOS ANGELES LAKERS
28,Didier Ilunga-Mbenga,C,7-0,245,"December 30, 1980",5,,LOS ANGELES LAKERS
6,Adam Morrison,SF,6-8,205,"July 19, 1984",2,Gonzaga University,LOS ANGELES LAKERS
7,Lamar Odom,PF,6-10,220,"November 6, 1979",10,University of Rhode Island,LOS ANGELES LAKERS
21,Josh Powell,PF,6-9,225,"January 25, 1983",4,North Carolina State University,LOS ANGELES LAKERS
18,Sasha Vujacic,SG,6-7,195,"March 8, 1984",5,,LOS ANGELES LAKERS
4,Luke Walton,SF,6-8,235,"March 28, 1980",6,University of Arizona,LOS ANGELES LAKERS
37,Metta World Peace,SF,6-6,260,"November 13, 1979",10,St. John's University,LOS ANGELES LAKERS
17,Lou Amundson,PF,6-9,220,"December 7, 1982",3,"University of Nevada, Las Vegas",PHOENIX SUNS
10,Leandro Barbosa,PG,6-3,194,"November 28, 1982",6,,PHOENIX SUNS
55,Earl Clark,PF,6-10,225,"January 17, 1988",R,University of Louisville,PHOENIX SUNS
20,Jarron Collins,C,6-11,255,"December 2, 1978",8,Stanford University,PHOENIX SUNS
2,Goran Dragic,PG,6-3,190,"May 6, 1986",1,,PHOENIX SUNS
3,Jared Dudley,SF,6-7,237,"July 10, 1985",2,Boston College,PHOENIX SUNS
8,Channing Frye,C,7-0,255,"May 17, 1983",4,University of Arizona,PHOENIX SUNS
32,Taylor Griffin,SF,6-7,238,"April 18, 1986",R,University of Oklahoma,PHOENIX SUNS
33,Grant Hill,SF,6-8,225,"October 5, 1972",14,Duke University,PHOENIX SUNS
21,Dwayne Jones,PF,6-11,250,"June 9, 1983",4,Saint Joseph's University,PHOENIX SUNS
15,Robin Lopez,C,7-0,275,"April 1, 1988",1,Stanford University,PHOENIX SUNS
13,Steve Nash,PG,6-3,195,"February 7, 1974",13,Santa Clara University,PHOENIX SUNS
23,Jason Richardson,SG,6-6,220,"January 20, 1981",8,Michigan State University,PHOENIX SUNS
1,Amar'e Stoudemire,PF,6-10,245,"November 16, 1982",7,,PHOENIX SUNS
29,Alando Tucker,SF,6-6,205,"February 11, 1984",2,University of Wisconsin,PHOENIX SUNS
2,Steve Blake,PG,6-3,172,"February 26, 1980",6,University of Maryland,LOS ANGELES CLIPPERS
6,Bobby Brown,PG,6-2,175,"September 24, 1984",1,"California State University, Fullerton",LOS ANGELES CLIPPERS
45,Rasual Butler,SF,6-7,215,"May 23, 1979",7,La Salle University,LOS ANGELES CLIPPERS
23,Marcus Camby,PF,6-11,220,"March 22, 1974",13,University of Massachusetts Amherst,LOS ANGELES CLIPPERS
25,Mardy Collins,SG,6-6,220,"August 4, 1984",3,Temple University,LOS ANGELES CLIPPERS
44,JamesOn Curry,PG,6-3,190,"January 7, 1986",R,Oklahoma State University,LOS ANGELES CLIPPERS
1,Baron Davis,PG,6-3,209,"April 13, 1979",10,"University of California, Los Angeles",LOS ANGELES CLIPPERS
31,Ricky Davis,SF,6-6,195,"September 23, 1979",11,University of Iowa,LOS ANGELES CLIPPERS
0,Drew Gooden,PF,6-10,250,"September 24, 1981",7,University of Kansas,LOS ANGELES CLIPPERS
10,Eric Gordon,SG,6-4,215,"December 25, 1988",1,Indiana University,LOS ANGELES CLIPPERS
9,DeAndre Jordan,C,6-11,265,"July 21, 1988",1,Texas A&M University,LOS ANGELES CLIPPERS
35,Chris Kaman,C,7-0,265,"April 28, 1982",6,Central Michigan University,LOS ANGELES CLIPPERS
20,Steve Novak,SF,6-10,225,"June 13, 1983",3,Marquette University,LOS ANGELES CLIPPERS
34,Travis Outlaw,SF,6-9,210,"September 18, 1984",6,,LOS ANGELES CLIPPERS
21,Kareem Rush,SG,6-6,215,"October 30, 1980",6,University of Missouri,LOS ANGELES CLIPPERS
8,Brian Skinner,PF,6-9,255,"May 19, 1976",11,Baylor University,LOS ANGELES CLIPPERS
5,Craig Smith,PF,6-7,250,"November 10, 1983",3,Boston College,LOS ANGELES CLIPPERS
3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",5,,LOS ANGELES CLIPPERS
12,Al Thornton,SF,6-8,220,"December 7, 1983",2,Florida State University,LOS ANGELES CLIPPERS
7,Kelenna Azubuike,SF,6-5,220,"December 16, 1983",3,University of Kentucky,GOLDEN STATE WARRIORS
18,Raja Bell,SG,6-5,204,"September 19, 1976",9,"Boston University, Florida International University",GOLDEN STATE WARRIORS
15,Andris Biedrins,C,6-11,240,"April 2, 1986",5,,GOLDEN STATE WARRIORS
30,Stephen Curry,PG,6-3,190,"March 14, 1988",R,Davidson College,GOLDEN STATE WARRIORS
8,Monta Ellis,SG,6-3,185,"October 26, 1985",4,,GOLDEN STATE WARRIORS
19,Devean George,SF,6-8,220,"August 29, 1977",10,Augsburg College,GOLDEN STATE WARRIORS
31,Chris Hunter,C,6-11,240,"July 7, 1984",R,University of Michigan,GOLDEN STATE WARRIORS
1,Stephen Jackson,PF,6-8,218,"April 5, 1978",9,Butler County Community College,GOLDEN STATE WARRIORS
11,Coby Karl,SF,6-5,215,"March 6, 1983",1,Boise State University,GOLDEN STATE WARRIORS
2,Acie Law,PG,6-3,195,"January 25, 1985",2,Texas A&M University,GOLDEN STATE WARRIORS
50,Corey Maggette,PF,6-6,218,"November 12, 1979",10,Duke University,GOLDEN STATE WARRIORS
20,Cartier Martin,SF,6-7,220,"November 20, 1984",1,Kansas State University,GOLDEN STATE WARRIORS
33,Mikki Moore,C,6-11,225,"November 4, 1975",11,University of Nebraska,GOLDEN STATE WARRIORS
22,Anthony Morrow,SG,6-5,210,"September 27, 1985",1,Georgia Institute of Technology,GOLDEN STATE WARRIORS
77,Vladimir Radmanovic,PF,6-10,227,"November 19, 1980",8,,GOLDEN STATE WARRIORS
4,Anthony Randolph,C,6-10,205,"July 15, 1989",1,Louisiana State University,GOLDEN STATE WARRIORS
44,Anthony Tolliver,PF,6-8,250,"June 1, 1985",1,Creighton University,GOLDEN STATE WARRIORS
21,Ronny Turiaf,C,6-10,249,"January 13, 1983",4,Gonzaga University,GOLDEN STATE WARRIORS
23,C.J. Watson,PG,6-2,175,"April 17, 1984",2,University of Tennessee,GOLDEN STATE WARRIORS
55,Reggie Williams,SF,6-6,205,"September 14, 1986",R,Virginia Military Institute,GOLDEN STATE WARRIORS
8,Hilton Armstrong,C,6-11,235,"November 11, 1984",3,University of Connecticut,SACRAMENTO KINGS
40,Jon Brockman,PF,6-7,255,"March 20, 1987",R,University of Washington,SACRAMENTO KINGS
18,Omri Casspi,SF,6-9,225,"June 22, 1988",R,,SACRAMENTO KINGS
15,Joey Dorsey,PF,6-8,268,"December 16, 1983",1,University of Memphis,SACRAMENTO KINGS
13,Tyreke Evans,SG,6-6,220,"September 19, 1989",R,University of Memphis,SACRAMENTO KINGS
32,Francisco Garcia,SG,6-7,195,"December 31, 1981",4,University of Louisville,SACRAMENTO KINGS
20,Donte Greene,SF,6-11,226,"February 21, 1988",1,Syracuse University,SACRAMENTO KINGS
31,Spencer Hawes,C,7-1,245,"April 28, 1988",2,University of Washington,SACRAMENTO KINGS
24,Carl Landry,PF,6-9,248,"September 19, 1983",2,Purdue University,SACRAMENTO KINGS
23,Kevin Martin,SG,6-7,199,"February 1, 1983",5,Western Carolina University,SACRAMENTO KINGS
24,Desmond Mason,SF,6-7,224,"October 11, 1977",9,Oklahoma State University,SACRAMENTO KINGS
42,Sean May,C,6-9,266,"April 4, 1984",3,University of North Carolina,SACRAMENTO KINGS
7,Dominic McGuire,SF,6-9,220,"October 20, 1985",2,"University of California, California State University, Fresno",SACRAMENTO KINGS
5,Andres Nocioni,SF,6-7,225,"November 30, 1979",5,,SACRAMENTO KINGS
10,Sergio Rodriguez,PG,6-3,176,"June 12, 1986",3,,SACRAMENTO KINGS
17,Garrett Temple,SG,6-6,195,"May 8, 1986",R,Louisiana State University,SACRAMENTO KINGS
9,Kenny Thomas,PF,6-7,261,"July 25, 1977",10,University of New Mexico,SACRAMENTO KINGS
34,Jason Thompson,C,6-11,250,"July 21, 1986",1,Rider University,SACRAMENTO KINGS
3,Ime Udoka,SG,6-6,215,"August 9, 1977",5,"University of San Francisco, Portland State University",SACRAMENTO KINGS
19,Beno Udrih,PG,6-3,205,"July 5, 1982",5,,SACRAMENTO KINGS
11,J.J. Barea,PG,6-0,185,"June 26, 1984",3,Northeastern University,DALLAS MAVERICKS
3,Rodrigue Beaubois,PG,6-0,170,"February 24, 1988",R,,DALLAS MAVERICKS
4,Caron Butler,SG,6-7,228,"March 13, 1980",7,University of Connecticut,DALLAS MAVERICKS
13,Matt Carroll,SG,6-6,212,"August 28, 1980",6,University of Notre Dame,DALLAS MAVERICKS
25,Erick Dampier,C,6-11,265,"July 14, 1975",13,Mississippi State University,DALLAS MAVERICKS
90,Drew Gooden,C,6-10,250,"September 24, 1981",7,University of Kansas,DALLAS MAVERICKS
33,Brendan Haywood,C,7-0,268,"November 27, 1979",8,University of North Carolina,DALLAS MAVERICKS
5,Josh Howard,SF,6-7,210,"April 28, 1980",6,Wake Forest University,DALLAS MAVERICKS
43,Kris Humphries,PF,6-9,235,"February 6, 1985",5,University of Minnesota,DALLAS MAVERICKS
2,Jason Kidd,PG,6-4,205,"March 23, 1973",15,University of California,DALLAS MAVERICKS
0,Shawn Marion,SF,6-7,220,"May 7, 1978",10,"University of Nevada, Las Vegas",DALLAS MAVERICKS
14,Eduardo Najera,PF,6-8,240,"July 11, 1976",9,University of Oklahoma,DALLAS MAVERICKS
41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",11,,DALLAS MAVERICKS
6,Quinton Ross,SF,6-6,195,"April 30, 1981",5,Southern Methodist University,DALLAS MAVERICKS
33,James Singleton,SF,6-8,216,"July 20, 1981",3,Murray State University,DALLAS MAVERICKS
92,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",9,,DALLAS MAVERICKS
31,Jason Terry,SG,6-2,185,"September 15, 1977",10,University of Arizona,DALLAS MAVERICKS
7,Tim Thomas,SF,6-10,230,"February 26, 1977",12,Villanova University,DALLAS MAVERICKS
45,DeJuan Blair,PF,6-7,270,"April 22, 1989",R,University of Pittsburgh,SAN ANTONIO SPURS
10,Keith Bogans,SF,6-5,215,"May 12, 1980",6,University of Kentucky,SAN ANTONIO SPURS
15,Matt Bonner,PF,6-10,235,"April 5, 1980",5,University of Florida,SAN ANTONIO SPURS
21,Tim Duncan,C,6-11,250,"April 25, 1976",12,Wake Forest University,SAN ANTONIO SPURS
4,Michael Finley,SF,6-7,215,"March 6, 1973",14,University of Wisconsin,SAN ANTONIO SPURS
20,Manu Ginobili,SG,6-6,205,"July 28, 1977",7,,SAN ANTONIO SPURS
1,Malik Hairston,SG,6-6,220,"February 23, 1987",1,University of Oregon,SAN ANTONIO SPURS
22,Marcus Haislip,SF,6-10,230,"December 22, 1980",3,University of Tennessee,SAN ANTONIO SPURS
3,George Hill,PG,6-3,188,"May 4, 1986",1,Indiana University-Purdue University Indianapolis,SAN ANTONIO SPURS
11,Cedric Jackson,PG,6-3,191,"March 5, 1986",R,"St. John's University, Cleveland State University",SAN ANTONIO SPURS
24,Richard Jefferson,SF,6-7,233,"June 21, 1980",8,University of Arizona,SAN ANTONIO SPURS
28,Ian Mahinmi,C,6-11,262,"November 5, 1986",1,,SAN ANTONIO SPURS
8,Roger Mason,SG,6-5,200,"September 10, 1980",5,University of Virginia,SAN ANTONIO SPURS
34,Antonio McDyess,PF,6-9,220,"September 7, 1974",13,University of Alabama,SAN ANTONIO SPURS
9,Tony Parker,PG,6-2,185,"May 17, 1982",8,,SAN ANTONIO SPURS
42,Theo Ratliff,C,6-10,225,"April 17, 1973",14,University of Wyoming,SAN ANTONIO SPURS
2,Garrett Temple,SG,6-6,195,"May 8, 1986",R,Louisiana State University,SAN ANTONIO SPURS
13,David Andersen,C,6-11,245,"June 23, 1980",R,,HOUSTON ROCKETS
1,Trevor Ariza,SF,6-8,215,"June 30, 1985",5,"University of California, Los Angeles",HOUSTON ROCKETS
3,Hilton Armstrong,C,6-11,235,"November 11, 1984",3,University of Connecticut,HOUSTON ROCKETS
31,Shane Battier,SG,6-8,220,"September 9, 1978",8,Duke University,HOUSTON ROCKETS
0,Aaron Brooks,PG,6-0,161,"January 14, 1985",2,University of Oregon,HOUSTON ROCKETS
10,Chase Budinger,SF,6-7,209,"May 22, 1988",R,University of Arizona,HOUSTON ROCKETS
5,Will Conroy,PG,6-2,195,"December 8, 1982",1,University of Washington,HOUSTON ROCKETS
43,Brian Cook,PF,6-9,234,"December 4, 1980",6,University of Illinois at Urbana-Champaign,HOUSTON ROCKETS
15,Joey Dorsey,PF,6-8,268,"December 16, 1983",1,University of Memphis,HOUSTON ROCKETS
33,Mike Harris,PF,6-6,240,"June 15, 1983",1,Rice University,HOUSTON ROCKETS
44,Chuck Hayes,C,6-6,240,"June 11, 1983",4,University of Kentucky,HOUSTON ROCKETS
27,Jordan Hill,PF,6-10,235,"July 27, 1987",R,University of Arizona,HOUSTON ROCKETS
20,Jared Jeffries,SF,6-11,230,"November 25, 1981",7,Indiana University,HOUSTON ROCKETS
14,Carl Landry,PF,6-9,248,"September 19, 1983",2,Purdue University,HOUSTON ROCKETS
7,Kyle Lowry,PG,6-1,196,"March 25, 1986",3,Villanova University,HOUSTON ROCKETS
12,Kevin Martin,SG,6-7,199,"February 1, 1983",5,Western Carolina University,HOUSTON ROCKETS
3,Tracy McGrady,SG,6-8,210,"May 24, 1979",12,,HOUSTON ROCKETS
21,Pops Mensah-Bonsu,PF,6-9,240,"September 7, 1983",2,George Washington University,HOUSTON ROCKETS
4,Luis Scola,PF,6-9,240,"April 30, 1980",2,,HOUSTON ROCKETS
8,Jermaine Taylor,SG,6-4,210,"December 8, 1986",R,University of Central Florida,HOUSTON ROCKETS
2,Garrett Temple,SG,6-6,195,"May 8, 1986",R,Louisiana State University,HOUSTON ROCKETS
00,Darrell Arthur,PF,6-9,235,"March 25, 1988",1,University of Kansas,MEMPHIS GRIZZLIES
9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",3,University of Arkansas,MEMPHIS GRIZZLIES
1,DeMarre Carroll,SF,6-8,215,"July 27, 1986",R,"Vanderbilt University, University of Missouri",MEMPHIS GRIZZLIES
11,Mike Conley,PG,6-1,175,"October 11, 1987",2,Ohio State University,MEMPHIS GRIZZLIES
33,Marc Gasol,C,7-1,255,"January 29, 1985",1,,MEMPHIS GRIZZLIES
22,Rudy Gay,SF,6-8,230,"August 17, 1986",3,University of Connecticut,MEMPHIS GRIZZLIES
2,Trey Gilder,SF,6-9,185,"January 24, 1985",R,"McNeese State University, Northwestern State University",MEMPHIS GRIZZLIES
15,Hamed Haddadi,C,7-2,254,"May 19, 1985",1,,MEMPHIS GRIZZLIES
25,Lester Hudson,PG,6-3,190,"August 7, 1984",R,University of Tennessee at Martin,MEMPHIS GRIZZLIES
45,Steven Hunter,C,7-0,220,"October 31, 1981",7,DePaul University,MEMPHIS GRIZZLIES
3,Allen Iverson,PG,6-0,165,"June 7, 1975",13,Georgetown University,MEMPHIS GRIZZLIES
32,O.J. Mayo,SG,6-5,210,"November 5, 1987",1,University of Southern California,MEMPHIS GRIZZLIES
50,Zach Randolph,PF,6-9,250,"July 16, 1981",8,Michigan State University,MEMPHIS GRIZZLIES
34,Hasheem Thabeet,C,7-3,263,"February 16, 1987",R,University of Connecticut,MEMPHIS GRIZZLIES
10,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",7,Iowa State University,MEMPHIS GRIZZLIES
5,Marcus Williams,PG,6-3,205,"December 3, 1985",3,University of Connecticut,MEMPHIS GRIZZLIES
4,Sam Young,SF,6-6,220,"June 1, 1985",R,University of Pittsburgh,MEMPHIS GRIZZLIES
12,Hilton Armstrong,PF,6-11,235,"November 11, 1984",3,University of Connecticut,NEW ORLEANS PELICANS
6,Bobby Brown,PG,6-2,175,"September 24, 1984",1,"California State University, Fullerton",NEW ORLEANS PELICANS
23,Devin Brown,SG,6-5,220,"December 30, 1978",7,University of Texas at San Antonio,NEW ORLEANS PELICANS
2,Darren Collison,PG,6-0,175,"August 23, 1987",R,"University of California, Los Angeles",NEW ORLEANS PELICANS
34,Aaron Gray,C,7-0,270,"December 7, 1984",2,University of Pittsburgh,NEW ORLEANS PELICANS
11,Jason Hart,PG,6-3,185,"April 29, 1978",8,Syracuse University,NEW ORLEANS PELICANS
4,Sean Marks,C,6-10,250,"August 23, 1975",9,University of California,NEW ORLEANS PELICANS
50,Emeka Okafor,C,6-10,252,"September 28, 1982",5,University of Connecticut,NEW ORLEANS PELICANS
3,Chris Paul,PG,6-0,175,"May 6, 1985",4,Wake Forest University,NEW ORLEANS PELICANS
24,Morris Peterson,SG,6-7,218,"August 26, 1977",9,Michigan State University,NEW ORLEANS PELICANS
41,James Posey,SF,6-8,215,"January 13, 1977",10,Xavier University,NEW ORLEANS PELICANS
9,Darius Songaila,C,6-9,248,"February 14, 1978",6,Wake Forest University,NEW ORLEANS PELICANS
16,Peja Stojakovic,SF,6-9,220,"June 9, 1977",11,,NEW ORLEANS PELICANS
5,Marcus Thornton,SG,6-4,205,"June 5, 1987",R,Louisiana State University,NEW ORLEANS PELICANS
30,David West,PF,6-9,250,"August 29, 1980",6,Xavier University,NEW ORLEANS PELICANS
32,Julian Wright,SF,6-8,225,"May 20, 1987",2,University of Kansas,NEW ORLEANS PELICANS
20,Ray Allen,SG,6-5,205,"July 20, 1975",13,University of Connecticut,BOSTON CELTICS
42,Tony Allen,SG,6-4,213,"January 11, 1982",5,"Butler County Community College, Oklahoma State University",BOSTON CELTICS
7,Marquis Daniels,SF,6-6,200,"January 7, 1981",6,Auburn University,BOSTON CELTICS
11,Glen Davis,PF,6-9,289,"January 1, 1986",2,Louisiana State University,BOSTON CELTICS
40,Michael Finley,SF,6-7,215,"March 6, 1973",14,University of Wisconsin,BOSTON CELTICS
5,Kevin Garnett,PF,6-11,240,"May 19, 1976",14,,BOSTON CELTICS
4,J.R. Giddens,SF,6-5,215,"February 13, 1985",1,"University of Kansas, University of New Mexico",BOSTON CELTICS
50,Eddie House,PG,6-1,180,"May 14, 1978",9,Arizona State University,BOSTON CELTICS
26,Lester Hudson,PG,6-3,190,"August 7, 1984",R,University of Tennessee at Martin,BOSTON CELTICS
40,Oliver Lafayette,SG,6-2,190,"May 6, 1984",R,University of Houston,BOSTON CELTICS
12,Marcus Landry,SF,6-7,230,"November 1, 1985",R,University of Wisconsin,BOSTON CELTICS
43,Kendrick Perkins,C,6-10,270,"November 10, 1984",6,,BOSTON CELTICS
34,Paul Pierce,SF,6-7,235,"October 13, 1977",11,University of Kansas,BOSTON CELTICS
4,Nate Robinson,PG,5-9,180,"May 31, 1984",4,University of Washington,BOSTON CELTICS
