slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
robinna01,Nate Robinson,CHICAGO BULLS,AWAY,ORLANDO MAGIC,WIN,947,2,7,2,4,0,0,0,0,0,0,0,0,2,1.1
lambdo01,Doron Lamb,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,88,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
pricero01,Ronnie Price,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,468,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
ridnolu01,Luke Ridnour,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1833,4,11,0,1,0,0,0,3,2,0,0,2,3,1.0
bareajo01,J.J. Barea,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1210,1,8,0,1,2,2,0,1,4,0,0,1,0,0.9
udohek01,Ekpe Udoh,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,414,0,2,0,0,2,2,0,1,0,0,0,0,0,0.9
collini01,Nick Collison,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,861,1,3,0,0,2,2,1,0,1,0,1,2,4,0.8
harrito02,Tobias Harris,MILWAUKEE BUCKS,HOME,SAN ANTONIO SPURS,LOSS,88,0,0,0,0,0,0,0,1,1,0,0,0,1,0.6
robinth01,Thomas Robinson,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,469,1,2,0,0,0,0,0,2,0,0,0,1,0,0.6
smithno01,Nolan Smith,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,342,1,4,0,0,0,0,0,1,1,0,0,0,0,0.6
veselja01,Jan Vesely,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,244,0,0,0,0,0,0,2,0,0,0,0,0,2,0.6
bradlav01,Avery Bradley,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,1171,2,6,0,2,0,0,0,0,0,1,0,0,3,0.4
