position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SF,"Simmons, Jonathon",4.5,$10,PHILADELPHIA 76ERS,@ dal, 102-122,4:00,   0pt 3as 0-1fg
PF,"Spalding, Ray",4.4,$10,PHOENIX SUNS,v cle, 122-113,4:37,   2pt 2rb 1-3fg
PF,"Crowder, Jae^",4,$15,UTAH JAZZ,v cha, 111-102,25:16,   0pt 5rb 2to 0-6fg
PF,"Leaf, TJ",3.2,$10,INDIANA PACERS,v det, 111-102,4:06,   0pt 1rb 1bl 1to 0-1fg
PF,"Frye, Channing",3,$10,CLEVELAND CAVALIERS,@ pho, 113-122,3:18,   3pt 1trey 1-2fg
SF,"Yabusele, Guerschon",2.7,$10,BOSTON CELTICS,v mia, 110-105,2:33,   0pt 1rb 1as
PF,"Kaminsky, Frank",2.6,$10,CHARLOTTE HORNETS,@ uta, 102-111,10:52,   0pt 3rb 1to 0-3fg
PF,"Miller, Malcolm",2.4,$10,TORONTO RAPTORS,v orl, 121-109,4:07,   0pt 2rb 0-1fg
SF,"Ojeleye, Semi",2,$10,BOSTON CELTICS,v mia, 110-105,5:56,   2pt 1-1fg 0-1ft
SF,"Colson, Bonzie",0,$10,MILWAUKEE BUCKS,@ bkn, 131-121,1:27,   0pt 0-1fg
PF,"Leuer, Jon",0,$10,DETROIT PISTONS,@ ind, 102-111,6:30,   0pt 0-2fg
SF,"Richardson, Josh",0,$22,MIAMI HEAT,@ bos, 105-110,DNP,   
PF,"Robinson, Duncan",0,$10,MIAMI HEAT,@ bos, 105-110,DNP,   
PF,"Ilyasova, Ersan",0,$10,MILWAUKEE BUCKS,@ bkn, 131-121,DNP,   
SF,"Batum, Nicolas",0,$18,CHARLOTTE HORNETS,@ uta, 102-111,DNP,   
PF,"Hollis-Jefferson, Rondae",0,$10,BROOKLYN NETS,v mil, 121-131,DNP,   
PF,"Williams, Robert",0,$10,BOSTON CELTICS,v mia, 110-105,DNP,   
PF,"Gibson, Taj",0,$18,MINNESOTA TIMBERWOLVES,v por, 122-132,DNP,   
